Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Logistic Regression,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.996031746031746
KNN,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.982308201058201
SVM,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9947089947089947
Decision Tree,0.9298245614035088,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9246031746031745
Random Forest,0.9649122807017544,1.0,0.9047619047619048,0.95,0.994212962962963
